Company_Name,Job_Description,Job_Location_City,Job_Location_Region,Title
Artech Information Systems LLC,"Reference # : 20-30298 Title : Reporting Analyst / Data Scientist Location : Princeton, NJ Experience Level : Start Date / End Date : 10/05/2020 / 02/04/2021  Description I'm a recruiting consultant with Artech and I'm hoping I can help you find the perfect next opportunity for your career goals. You very well could be happy in your present role, but might be looking for a more challenging project or maybe you want to explore opportunities outside your comfort zone.  I am currently recruiting for Reporting Analyst / Data Scientist for one of the largest Pharmaceutical companies in the US.  Below are the specs for the role:  Job Title : Reporting Analyst / Data Scientist Location : Nassau Park, NJ Duration : 6 Months • 5 years of experience in Data Visualization tools (Spotfire, Tableau, PowerBi, etc.) and specifically able to create, manage and evolve a PowerBi dataset • Advanced proficiency (5 years' experience) in PowerBI/PowerQuery and related dataset transformations • 5 years of experience in leveraging Excel files, SharePoint lists, and other data sources to populate & keep updated a PowerBi dataset • 5 years of experience in SharePoint development (lists, sites, libraries.) • 5 years of experience in SQL development (Microsoft SQL, PostgreSQL)  This role is part of the IT Process and Reporting team. This team acts as a center of excellence for IT project management & demand delivery processes. It is responsible for designing analysis tools of end to end IT project management processes, speed throughput and boost transparency. The team fosters process adoption in collaboration with users through training and continuous improvement. It drives innovation leveraging a common technology platform, ServiceNow. Finally, it integrates process and financial insights into a central IT Business Management advisory capability. This role serves as a reporting analyst / data scientist to develop, merge, compare, update and report through data visualization on overlapping or disparate data sets. The analyst will need to have strong data analytic abilities, be able to solicit requirements from end users and understand how to keep data and priorities organized in order to provide clear insights for the current business need. Required Skills & Experience: • Strong proficiency in Data Visualization tools (Spotfire, Tableau, PowerBi, etc.) and specifically able to create, manage and evolve a PowerBi dataset • Strong proficiency in PowerBI/PowerQuery and related dataset transformations • Experience with leveraging Excel files, SharePoint lists, and other data sources to populate & keep updated a PowerBi dataset • Deep experience in MS Excel including the ability to create Macros & use VBA, formulas and data merging/comparison techniques knowledge of the data model, expert knowledge of pivot tables and pivot charts and general understanding of coding practices • Overall strong proficiency in MS Excel, Word, PowerPoint, Outlook • Experience leveraging SharePoint lists & libraries for the purpose of collecting & aggregating data (including InfoPath & Forms) in addition to the ability to customize the site's web parts and pages • SQL or related database experience required (e.g., ability to query tables, SQL reporting services, etc.) • Workflow experience required (SharePoint designer, Microsoft Flow and related tools) • Facilitation and meeting management skills; Strong communicator via all media: collaboration technologies (SharePoint, Skype, Microsoft Teams etc.) and presentations written, emails, verbal – with a wide variety of audiences • Manages multiple sometimes conflicting priorities, challenges the status quo, and exercises diplomacy all while maintaining a high comfort level for ambiguity • Experience managing, configuring or heavily using enterprise commercial Project & Portfolio management & collaboration tools a plus • At least 5 years of prior experience working in a Business or Data Analyst capacity; ideally in the Pharmaceutical Industry • Proven ability in gathering, tracing, translating and managing complex requirements, business rules, and data • Excellent oral and written communication skills including technical writing / documentation; organizes and presents ideas in a convincing and compelling manner • Demonstrated ability to use structured problem solving and available tools to quickly evaluate problems, identify root causes, create action plans, assess impact and develop resolution options • Action oriented and demonstrates accountability for results and acts with integrity and develops credibility • Demonstrates strong analytical skills, process knowledge and lateral thinking. Metric/KPI capture, analysis, and reporting • Exceptional interpersonal skills; able to communicate effectively with both technical and non-technical teams; able to provide technical leadership • Demonstrate ability to be teachable, a quick-learner, adapt in a fast-paced environment and work independently when needed • Excellent teamwork and interpersonal skills, with the ability to communicate and collaborate with employees and management at all levels  Applications: • PowerBi • ServiceNow • Excel & PowerQuery • Spotfire • Tableau • SharePoint & SharePoint Designer • Microsoft Flow Additional Job Requirements: None  Click ""APPLY” to send your resume for this role or you can send an email to me at Sumit.sharma@artech.com . You can also reach me directly at (973) 354-9707 .  Artech has been an employer-of-choice for 27 years, proudly serving over 80 Fortune 500 companies.  We have dedicated professionals that will help you with your next career move.  Our recruiters will listen carefully to your career goals and then match your skills and aspirations to various open roles.  There is nothing we are more passionate about than finding candidates a rewarding job that makes them happy.  Artech is an EEO Employer. ",Princeton,New Jersey,"Reporting Analyst / Data Scientist at Artech Information Systems LLC
"
XPO Logistics,"Logistics done differently. At XPO Logistics, we’re out to transform transportation logistics through technology, and our multimillion-dollar commitment to IT underscores its importance to our vision. Our Technology Associates are on the cutting edge of that transformation. As an intern, you will have the opportunity to explore what’s next in IT, software engineering, cybersecurity, QA, data science, UX/UI and more. We take pride in helping our employees grow and learn. Become the technology leader you’re meant to be, by building tomorrow’s technology today.  Pay, benefits and more. We are eager to attract the best, so we offer competitive compensation. This 10-12-week summer internship program will take place in Charlotte, NC during summer 2021.  What you’ll do on a typical day: Execute computer life cycle management, including fulfillment, provisioning, deployment, and support Manage computer assets (tracking, updating records, adding/removing devices) within ServiceNow Support and troubleshoot the end-user environment, including desktops, laptops, mobile devices, thin clients, print services, telephony, AV equipment and basic networking Perform Tier 2 and Tier 3 issue resolution Execute duties through rotational services of deskside visits, phone troubleshooting, walk-in center and tech depot fulfillment center visits What you need to succeed at XPO: At a minimum, you’ll need: Background or education in a related field 2 years of relevant coursework It’d be great if you also have: Experience building, deploying and troubleshooting desktop computers Experience supporting a corporate networked computer environment Intermediate experience manipulating data in Excel Knowledge of ITIL processes Self-motivated and able to work well with minimal supervision or in a team environment; consult with team members and management as needed Ability to be open-minded and receptive to feedback in an intellectually rigorous environment Strong attention to detail and analytical skills with the ability to identity and resolve problems Great organizational skills with the ability to multitask Great verbal and written communication skills Be part of something big.  XPO is a leading provider of cutting-edge supply chain solutions to the most successful companies in the world. We help our customers manage their goods most efficiently using our technology and services. Our greatest strength is our global team – energetic, innovative people of all experience levels and talents who make XPO a great place to work.  We are proud to be an Equal Opportunity/Affirmative Action employer. Qualified applicants will receive consideration for employment without regard to race, sex, disability, veteran or other protected status.  XPO adheres to CDC, OSHA and state and local requirements regarding COVID safety. All employees and visitors are expected to comply with XPO policies which are in place to safeguard our employees and customers.  All applicants who receive a conditional offer of employment may be required to take and pass a pre-employment drug test.  The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of personnel so classified. All employees may be required to perform duties outside of their normal responsibilities from time to time, as needed.",Charlotte,North Carolina,"IT Asset and Desktop Support Technician Intern at XPO Logistics
"
The Judge Group,"Location: Description: A technical assessment is required in order to officially be considered for this position. The assessment can be taken in Python, Java, or Scala Description: Data Engineer – Work in partnership with data science and visualization teams to understand use cases, data needs, and outcome objectives. Utilizing big data and cloud technologies to develop data pipelines and deliver data sets. As a partner, you will have project work and ad hoc requests that require agility and often fast paced response to business needs. Required Qualifications: 5 years or more experience in Java, Scala, or Python. Ability to perform complex data analysis with large volumes of data. Experience with stream processing, e.g. Kafka, Spark Streaming, Akka, Flink, etc. Expert level proficiency in SQL. Experience data modeling for large scale databases, either relational or NoSQL (graph, key: value, document, etc.) 5+ years’ experience with developing ETL/Data Pipeline solutions. Proven experience (2 years) with distributed systems, e.g. Mesos, Kubernetes, Spark, Hadoop, distributed databases, grid computing Preferred Qualifications: Experience developing and utilizing Data Lakes. Experience with data privacy concerns Ability to build and maintain modern cloud architecture, e.g. AWS, Google Cloud, etc. Experience contributing to open source projects Knowledge of data science practices, to better steer our efforts to support them through the infrastructure we create Contact: pbainbridge@judge.com This job and many more are available through The Judge Group. Find us on the web at www.judge.com",St. Louis,Missouri,"Data Engineer (Expert) at The Judge Group
"
Point72 Asset Management,"A Career with Point72’s MI Data team At Point72 MI Data, our Data Scientists sift through petabytes of unstructured data from diverse sources to discover trends and insights that help Point72’s Portfolio Managers create new investment theses. We combine an experiment-based approach with the strongest possible management support and the freedom to innovate unencumbered by bureaucracy. We encourage our Data Scientists to imagine the impossible, and provide the structure to bring those ideas to market in months, not years. What you’ll do Our Data Scientists conduct research through data mining and statistical modeling to discover insights from Big Data that are used by our investment professionals to make investment decisions. You will have the opportunity to work in a highly collegial environment that emphasizes teaching and learning as a team. In this role, you will:  Tackle the challenges of featurizing and modeling large and unstructured data using machine learning and statistical techniques   Manage all aspects of the research and execution process including methodology selection, data collection and quality, modeling and analysis, and performance monitoring   Deliver research findings to investment teams, portfolio managers, and other internal clients   Work within a team to help drive technical innovation through a collaborative R&D process  What’s required We look for candidates with extensive knowledge in machine learning, statistical models, and data mining tools, and a proven track record of working with large structured and unstructured data sets to extract timely, actionable insights. Other requirements include: MS or PhD degree in a quantitative discipline  3+ years of industry working experience in a role that requires advanced statistical analysis   3+ years of hands-on working experience with varied and complex data sets   Strong programming skills in the following languages: SQL, Python (preferred), R, Scala, Spark   Ability to think creatively and see the big picture as well as finer details  We take care of our people We invest in our people, their careers, their health, and their well-being. We want you to concentrate on success and leave the rest to us. When you work here, we provide:  Fully-paid health care benefits   Generous parental and family leave policies   Mental and physical wellness programs   Tuition assistance   A 401(k) savings program with an employer match and more  About Point72 Point72 Asset Management is a global firm led by Steven Cohen that invests in multiple asset classes and strategies worldwide. Resting on more than a quarter-century of investing experience, we seek to be the industry’s premier asset manager through delivering superior risk-adjusted returns, adhering to the highest ethical standards, and offering the greatest opportunities to the industry’s brightest talent. We’re inventing the future of finance by revolutionizing how we develop our people and how we use data to shape our thinking.",New York,New York,"Data Scientist at Point72 Asset Management
"
Steady Platform,"Senior Data Scientist Location/City: Any US location (offices in Atlanta, GA and Playa Vista, CA) Responsibilities We are looking for a sharp, highly-motivated Senior Data Scientist to join our team. This is a high-impact role that will leverage data & analytics to derive insights from our Members’ data and make recommendations to help improve their financial wellbeing. You will collaborate with product, and engineering as well as executive stakeholders to create analytical solutions to help achieve business goals. An ideal candidate is an individual who has a deep background in statistics, analysis, experiment design, and can bring those skills to bear in a start-up environment. A strong understanding and hands-on ability with data science technology and infrastructure is important as well. As the Senior Data Scientist, you will: Work with large volumes of bank transactions to create proprietary intelligence about the nature of employment and earnings for our Members Help build out our job recommendation engine to aid our Members in finding new or additional work to increase their income Help drive a data-first culture where data is understood and leveraged in decision making Collaborate with the data science team and CDO to define the technical strategy for Steady’s data science ecosystem Develop and codify processes and best practices for modeling, testing, and analytics Effectively balance short term delivery with long term direction and value Advocate for data science innovation and increased contribution to Steady’s mission Skills & Requirements Advanced degree and relevant experience (MS + 5 years, PhD + 3 years) in statistics, mathematics, computer science, or similar field Demonstrated experience creating production ML pipelines (training, scoring, leveraging in real-time systems) Expert knowledge of modern machine learning algorithms (regression, classification, random forests, clustering, optimization, etc.) and statistical inference Experience with bank or credit card transaction data preferred Experience with NLP and textual data analysis is a plus Demonstrated experience of efficient manipulation and storage of large datasets Hands on experience and expertise with SQL, Spark, Python (preferred) or R Experience with machine learning platforms Sagemaker/Databricks a plus Strong data visualization skills (experience with Tableau preferred) Familiarity and experience with the AWS data ecosystem (S3, AWS Glue, EMR, etc.) Excellent verbal and written communication skills with the ability to interact at all levels of the organization Comfortable working with distributed teams across multiple offices and timezones Ability to thrive in a fast-paced, entrepreneurial, high-energy environment Benefits We value our Steady Team Members and are committed to their success. We are located in downtown Atlanta near MARTA, as well as in Playa Vista CA. We offer competitive compensation packages and a 100% company-paid benefits package including medical, dental, and vision. Steady is a relaxed, casual work environment with flexible hours and lunch provided once weekly in addition to a weekly meal stipend. We also offer a generous PTO plan, 401K, and future growth opportunities within the company. We strive to maintain a positive and fun environment for our employees where people can learn and grow with the company. About Steady Steady is a mission-driven business that helps people earn more. Through the free Steady app users can build & track income, networks, and buying power – allowing them to augment retirement savings, work around childcare responsibilities, pay down debt, save for purchases, and supplement their income from primary employers, while limiting their income volatility and better positioning themselves for access to a sustainable financial services ecosystem. Every Steady member will build something different. We celebrate those who take the initiative to create a path that works for them. Whatever that looks like, Steady is there to support it, providing a stable foundation that allows people to build financial success over a lifetime. Mission: Steady turns the tables by putting workers back in charge of their financial future with an income-building platform that creates financial stability and helps its users to take charge of their future. For more information, visit us at www.steadyapp.com or on Twitter @TheSteadyApp. Steady, Platform Inc. (Steady) is an Equal Employment Opportunity employer – All qualified applicants/employees will receive consideration for employment without regard to that individual’s age, race, color, religion or creed, national origin or ancestry, sex (including pregnancy), sexual orientation, gender, gender identity, physical or mental disability, veteran status, genetic information, ethnicity, citizenship, or any other characteristic protected by law. Statement to ALL Third-Party Agencies and Similar Organizations: Steady accepts resumes only from agencies with which we formally engage their services. Please do not forward resumes to our applicant tracking system, Steady employees, Steady hiring manager, or send to any Steady facility. Steady is not responsible for any fees or charges associated with unsolicited resumes.",Playa,California,"Senior Data Scientist at Steady Platform
"
InterDigital," About InterDigital InterDigital develops fundamental wireless and video technologies that are at the core of mobile devices, networks, and services worldwide. We solve many of the industry's most critical and complex technical challenges, inventing solutions for more efficient broadband networks and richer multimedia experiences, years ahead of market deployment. InterDigital has licenses and strategic relationships with many of the world's leading wireless companies. Founded in 1972, InterDigital is listed on NASDAQ and is included in the S&P MidCap 400® index. For more information please visit  www.interdigital.com .  Summary  InterDigital is currently seeking a Data Scientist to work in our IS Department. We are looking for a Data Scientist to provide insights into the business through statistical analysis, data mining and data visualization techniques.  The successful candidate will be intricately involved with our Data Management and Information Delivery team in the governance, development and maintenance of our reporting solution including the refinement of a data framework and implementation of Machine Learning and Artificial Intelligence solutions.  Job Responsibilities   Coordinates and performs research and analytic activities utilizing various data sources and employ programming to clean, massage, and organize the data.   Interpret and analyze data to provide historical reporting, metrics tracking, adhoc reports and predictive models.   Generate dashboards and visualizations that can easily be interpreted.   Provide operational reporting for process and cost improvement projects and ROI evaluations.   Analyze error trends to determine root causes and implement solutions to address them.   Interact with business users across our global environment to gather requirements for reporting solutions and other data need to support decision making and business performance analysis.   Communicate results and explain advanced statistical content to key decision makers .   Develop strategy for long term data platform architecture.   Research and develop statistical learning models for data analysis   Develops and maintains technical documentation   Maintains Quality Service and Departmental Standards by    Reading, understanding and adhering to organizational Standard Operating Procedures (“SOP”)   Assisting in establishing and enforcing departmental standards   Ensuring the application of IS policies, principles, and practices in the delivery of all services   Participating in the modification of related company SOPs    Contributes to team effort by    Working with internal staff to resolve issues   Exploring new opportunities to add value to the organization and departmental processes   Helping others to achieve results   Performing other duties as assigned    Qualifications   Bachelor’s degree in Information Technology, Computer Science, or a related field of study (10+ years relevant IS experience and training may be considered in lieu of a degree)   At least 5 years of IS experience with SQL and scripting languages such as Java/Python and Perl   At least 5 years of IS experience with statistical analysis, data visualization, and data cleansing tools and techniques such as SAS, R Programming and visualization using Power BI or equivalent.   Experience working in probability and statistics, time-series analysis, as well as experience in the use of machine learning applications and techniques.   Prior experience working with a financial organization and developing financial reporting required.   Experience with Microsoft Excel, Access, Flow, PowerPoint, OneNote and SharePoint.   Experience in managing cross functional teams a plus   Must be able to demonstrate a thorough understanding of business priorities and realizes the criticality of being a business partner   Ability to prioritize and work on several tasks simultaneously   Solid written and communication skills.   Effectively communicate and interact with both functional and technical personnel in solving complex business and technical problems   Ability to complete tasks within critical timelines and work well in a fast-paced, high-energy environment.   Able to proactively work alone and within a team environment.   Location: Conshohocken, PA InterDigital is committed to a policy of Equal Employment Opportunity and will not engage in or tolerate unlawful discrimination against an applicant or employee on the basis of race, color, religion, creed, national origin, ancestry, citizenship, immigrant status, military status, veteran status, sex, sexual orientation, gender (including gender identity and/or expression), pregnancy, age, physical or mental disability, genetic information, atypical heredity cellular or blood trait, marital status, family status, domestic partner or civil union status or any other legally recognized protected basis under federal, state or local laws, regulations or ordinances. This policy applies to all terms and conditions of employment, including, but not limited to, hiring, compensation, benefits, training, assignments, evaluations, coaching, promotion, discipline, discharge and layoff. ",Conshohocken,Pennsylvania,"Data Scientist at InterDigital
"
St. Catherine of Siena,"6027006 Enterprise Reporting Melville 992 North Village Avenue Rockville Centre, NY 11570 Full Time Day shift 8:00am - 4:00pm POSITION SUMMARY: The Data Scientist will  be responsible for the creation of advanced static models, dynamic models and  algorithms, through data science, numerical methods and statistics. DUTIES/RESPONSIBILITIES: Perform       Data discovery, profiling and analysis of real-time and historical clinical       healthcare data Drive       Data management, classification and taxonomy development Hypothesis       development and testing Data       model and algorithm development and training Collaborate       with the multi-disciplined business analysts, technical analysts, data scientists       and software engineers Creation       of support tools, documentation and designs of algorithms for       implementation in healthcare big data ecosystem Works       collaboratively to design, implement and maintain data science models and       applications. Establish       programs to apply data science methodologies, including predictive       modeling and machine learning, data analytics and visualization, and       usability and design, to departmental, service line, and enterprise       applications and functions. Synthesizes       complex data-related problems into actionable business and/or clinical       strategy, and communicate findings to appropriate end-users and       stakeholders. Assists       with the development of specifications to support the design of new or       modified data science projects, with a focus on data-driven optimization,       enhancement, and development. Assists       in the evaluation of projects, systems, and initiatives at the department,       service line, and enterprise level. Ensures projects and their outputs       enhance clinical quality, patient safety, and institutional efficiency,       focusing on all aspects of data science, including data gathering and       wrangling, exploratory data analysis, data modeling and machine learning,       and model implementation and evaluation. Ensures high quality execution of       all proposed projects. Knowledgeable       in present and planned data science projects and maintains voice of the       customer in all project initiatives. Serves       as the link between the clinical staff (customer) requirements and IS       capabilities. Assists in ensuring that systems are       implemented to support Health System initiatives and goals to improve the       quality of patient care, to maximize patient safety, and to provide       operational efficiencies POSITION REQUIREMENTS AND QUALIFICATIONS: Education: PhD in Computer Science, Biomedical Informatics       or related field Experience: Experience       with predictive modeling in healthcare, is preferred Experience       with healthcare data, including HL7, EMR and claims data, is preferred Experience       with natural language processing, is preferred Experience       with using languages like R, Scala and Java, is preferred Understanding       of Hadoop environment, is preferred Experience       with big data cluster computing tools like Spark, is highly-desirable Experience       with machine learning (supervised and unsupervised), is preferred Experience       with statistical analysis, is essential Experience       with hypothesis testing, is essential Knowledge/Skills: Proficient       with statistical software packages (R, Python, MATLAB, SAS or related       programs) Highly       proficient with Excel, Microsoft Office and using data visualization tools       (e.g., Tableau, Qlik, PowerBI) to present data in clear, concise formats Solid       creative thinking, learning agility, decision making, problem solving,       reasoning, and visualization skills and abilities. Interest in       becoming a content expert in healthcare reporting databases and       warehouses. Communicate       effectively with excellent verbal/written communication skills. Collaborating       with developers for customized development. Able to       manage multiple tasks, often with competing deadlines. Possess the       ability to contribute to an environment that motivates individuals to work       collaboratively as a team Reasonable accommodation will be made to enable  individuals with disabilities to perform the essential physical demands. Expectation  for All Employees: Demonstrate knowledge of and conduct  himself/herself in conformity with the CHS Compliance Assurance Program and  Standards of Conduct. Employee shall  receive a copy of the CHS Compliance Program Handbook and be aware of the CHS  Helpline. Employee will perform all work  activities according to the highest ethical and legal standards. Conduct himself/herself in conformity with  the HIPAA Compliance Program and applicable institutional policies and  procedures for patient privacy. Play an active role in the CHS Information  Security Awareness Program by following and supporting all CHS information  security policies and procedures to the best of their ability. This will include reporting any suspected  fraud, abuse, or violation of policy to the appropriate management or reporting  mechanism. Support the organizations mission, vision,  and values by exhibiting the following behaviors: excellence and competence,  collaboration, innovation, respect personalization, commitment to our  community, and accountability and ownership. Apply",Rockville Centre,New York,"Data Scientist at St. Catherine of Siena
"
Blackwatch International Corporation,"Overview Blackwatch International Corporation (Blackwatch), a small business founded in 2010, provides world-wide mission critical services to the Department of State, Department of Defense, Department of Energy, Intelligence and Law Enforcement communities. We’re headquartered in McLean, VA with satellite offices located in Carmichael, CA and O’Fallon, IL and additional work locations throughout the US, Europe and the Middle East.  Position Title: Senior Data Scientist Position location(s): Springfield, VA and Fort Belvoir, VA Position Type: Full-time Years of Experience: 10+ years of experience Minimum Security Clearance: Top Secret/SCI (Springfield) or Top Secret/SCI with CI Poly (Fort Belvoir)  Blackwatch International is seeking multiple Senior Data Scientists to support our customer onsite in Springfield and Fort Belvoir, VA.  The Senior Data Scientist will use their understanding of geographic information science and technology, spatial thinking, remote sensing, intelligence issues, spatial relationships and visualization techniques and the social and physical sciences to create information, characterize events, and discover relationships and trends. A successful candidate will be able to provide leadership and bring expert knowledge of acquiring and analyzing forensic data and evidence, data preservation and chain of custody and be able to produce descriptive and predictive analyses and communicate findings as written, visual, and/or oral geospatial intelligence. Responsibilities  Use analytic tools and techniques such as ArcGIS, JEMA-IC/U, MIST, LMSS, data visualization, modeling, systems analysis, and comparative analysis to create structured data environments to address complex military and intelligence problems.  Provide database management using programming languages (i.e. Perl, SQL, HTML, etc.)  Define, Execute, and Lead complex or technical studies involving the assimilation and integration of multiple datasets, preferably applying data science techniques and methodologies.  Apply knowledge of DoD and IC missions to guide the search, discovery, research, extraction, and manipulation of large volumes of data from multiple intelligence disciplines.  Develop and refine existing mission Cross-INT/Cross-Domain data acquisition and assimilation processes and documenting those processes in standard operating procedures (SOP).  Apply change management practices in support of customers, mission partners, and authorities to introduce, develop, and implement comprehensive methodologies that support repeatable and scalable Cross-INT/Cross-Domain data acquisition and assimilation operations.  Pull, compare, contrast, merge, extract, research, de-conflict, extrapolate, and portray data geospatially from multiple NGA and IC databases using JEMA, JAVA, Python, ArcGIS, and other software to manage automated workflows for rapid data acquisition and assimilation.  Develop and sustain inter-organizational mission partnerships or relationships across the NGA and/or with the NRO, the IC, and the DoD.  Develop and apply quantitative and qualitative analytic methods to identify, collect, process, and analyze large data sets for specified purposes.  Seek out spatial data from classified and unclassified sources and utilize existing tools or develop methods to tie spatial information to datasets where necessary.  Conduct data mining and retrieval and apply statistical and mathematical analysis to identify trends, solve analytic problems, optimize performance, and gather intelligence.  Develop scripts and algorithms e.g. Python, create explanatory and predictive models and conduct comparative analyses to address complex military and intelligence problems.  Provide excellent customer support and interact with analytic units in a professional manner to help understand their challenges, incorporate their feedback, and provide quality solutions. Qualifications  A minimum High School Diploma/GED equivalent. Bachelor’s degree and Master’s degree in Applied Mathematics, Computer Science, Data Science, Geographic Information Science, Informatics and Computing, Information Science, Operations Research, Statistics, or a related discipline preferred  Current DoD TS/SCI or DoD TS/SCI with CI Poly security clearance  US Citizenship required  At least 10 years’ experience in working with large or complex data sets, including performing data mining, running complex queries, or performing tasks in related areas of work.  Ability to identify, retrieve, manipulate, relate and/or exploit multiple structured and unstructured data sets from various sources including building or generating new data sets as appropriate.  Ability to interpret and evaluate the results of data science community’s methods model and/or algorithms, understanding the meaning, limitations and scope of the results and translate them into insightful output for data science and/or mission and identifying other applications for use.  Ability to initiate the efficient implementation of methods, tools, and algorithms using a comprehensive range of technologies.  Ability to lead work unit proactively addressing and responding to the most difficult data science-related challenges in a timely manner while effective balancing competing priorities  Ability to identify problems to which data science can be applied and initiate appropriate solutions.  Experience performing system optimization or trend analysis on an operational system, preferably in the intelligence field.  Demonstrated proficiency in applied programming and/or manipulation of data with a programing language such as Python, R, SQL or Java, other languages will be considered.  Ability to communicate technically complex methods and solutions to non-technical audiences verbally or in writing.  Knowledge of IC and DoD missions.  Blackwatch International Corporation is an Equal Opportunity Employer/Affirmative Action Employer and all qualified applicants will receive consideration for employment regardless of race, color, religion, sex, national origin, disability status, protected Veteran Status, or any other characteristics protected by law.  We are an eVerify participating employer.",Fairfax,Virginia,"Senior Data Scientist at Blackwatch International Corporation
"
Walt Disney Company,Job Summary: Responsibilities: Leadership & Mentoring: Experimentation: Analysis automation: Deep analysis: Partnership: Basic Qualifications: Preferred Qualifications: Preferred Education Job ID: Location: Job Posting Company:,San Francisco,California,"Senior Data Scientist at Walt Disney Company
"
Maven Wave,"Who We Are! At Maven Wave, an Atos Company, we are relentless in hiring the industry’s top talent. Each employee is hand-picked not only for their skills, but for their personality and broad expertise. We are looking for this rare combination of talent that sets us apart in the industry. Maven Wave helps leading companies make the shift to digital and shorten the fuse to innovation. We combine the expertise of top-tier consulting with the agility of a cutting-edge technology firm. This multidisciplinary blend of skills allows us to create unique digital advantages for our clients. Maven Wave’s digital solutions are agile, mobile, rooted in analytics, and built in the cloud. Maven Wave, Google, and YOU: Drive and deliver business results with data-based insights. We are looking for a Data Scientist who will utilize their analytical, statistical, and programming skills to develop data-driven solutions to complex business challenges. Your Life As a Maven: Leverage  data to drive business solutions for enterprise clients. Assist clients in building Data Science ML/AI Capabilities in the Cloud (GCP, AWS, Azure) Handle the life cycle of Machine Learning including: Data Transformation, EDA, Feature Engineering, Model Trial Pipelines, Measuring Performance, Retraining, and Deploying models for Inference hosting. Develop custom or improve existing data science models Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting, and other business outcomes. Work on hybrid Engineering, Data Science, Cloud Architecture teams to delivery business value. Your Expertise: 3-5 years of experience manipulating data sets and building statistical models. Cloud experience in a major platform, such as AWS, GCP, or Azure. Experience using Data Science languages (Python) to manipulate data and draw insights. Knowledge of a variety of Machine Learning and advanced analytical techniques and their real world advantages/drawbacks. Familiarity with the following software/tools: Python, C, Java, Jupyter Notebooks, SQL, ML platforms (GCP AI Platform, AWS Sagemaker, H2O, DataRobot), Data Pipelines and orchestration (Spark, Airflow, CI/CD), and visualization (Looker, Tableau, qlikview) Must have a Bachelor’s degree in Computer Science, Technology, Computer Information Systems, Computer Applications, Engineering, or a related field. Your X-Factor: Aptitude - You have an innate capacity to transition from project to project without skipping a beat. Communication - You have strong communication skills for coordination across projects and teams. Impact - You are a critical problem solver with an emphasis on creativity and innovation. Passion - You have the drive to succeed paired with a continuous hunger to learn. Leadership - You are trusted, empathetic, accountable, and empower others around you. Why We’re Proud To Be Mavens! Google Cloud North America Services Partner of the Year 2019, 2018, 2017 #21 Best Workplaces in Chicago, FORTUNE Great Place To Work Certification, Great Place to Work Fast Fifty, Crain's Chicago Business 101 Best and Brightest Companies to Work For, National Association for Business Resources (NABR) Top Google Cloud Partner, Clutch Fastest Growing Consulting Firms in North Ame rica (#11, #37) , Consulting Magazine Top IT Services Companies, Clutch Google Global Rising Star Partner of the Year Ready to Learn More? Digital Transformation at Atos Check out the Data Team See what Glassdoor has to say Real Customer Stories",Pittsburgh,Pennsylvania,"Data Scientist at Maven Wave
"
